country,country_code,category,ind_name,ind_code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2018
Argentina,ARG,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1378290,1378290,1292800,1286500,1280200,1283910,1275650,1280450,1285100,1377975,1474810,1487000,1487000,1487000
Australia,AUS,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,4615850,4615850,4817870,4868370,4829260,4729600,4644810,4633480,4555000,4451490,3985800,3659130,3710780,3710780
Brazil,BRA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1505310,1505310,1953970,2134160,2242780,2310410,2416080,2584720,2614060,2724325.938,2734630,2840830,2835460,2835460
Canada,CAN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,698250,698250,690210,684720,663960,674390,677680,679940,676130,675690,632686.0156,626561.9922,626710,626710
China,CHN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,3423500,3423500,3746000,4007100,4276040,4763470,5056940,5228330,5220030,5174330,5145500,5278330,5277330,5277330
German,DEU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,193750,193750,190230,187920,185190,182440,180320,173430,170680,170310,167000,167310,166570,166570
European Union,EUU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,2101850.999,2101850.999,2041680,1995956.001,1976655,1951546.999,1929663.007,2023283.993,1998270.802,1926754.305,1873627.004,1824429.299,1815078.892,1815078.892
France,FRA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,345390,345390,324950,323570,317220,314420,305928.0078,301501.9922,298074.0039,293904.0039,289263.0078,287269.0039,287180.1953,287180.1953
United Kingdom,GBR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,198000,198000,188490,185830,184690,181680,182030,173790,169640,169560,172240,171380,173499.8047,173499.8047
Indonesia,IDN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,386000,386000,384000,382560,380000,396790,450830,429780,471770,518460,556000,570000,570000,570000
India,IND,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1749520,1749520,1780520,1796940,1802720,1813400,1814130,1809450,1809750,1801260,1795730,1797210,1797210,1797210
Italy,ITA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,206830,206830,201800,175170,175620,170950,168400,153330,156370,147360,143277.998,129450,127170,127170
Japan,JPN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,71100,71100,66960,62730,60610,58790,56930,54430,52580,46920,45930,44960,44710,44710
South Korea,KOR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,21130,21130,23240,22720,22470,22200,21790,20480,19730,18810,17730,17360,17008.00049,17008.00049
Mexico,MEX,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,983160,983160,976350,975510,981800,1014350,1051510,1061950,1063300,1065700,1066150,1067280,1062360,1062360
Russian Federation,RUS,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1.011528419,1.011528419,1.00850291,1.005486451,1.002479014,0.999480572,0.996491099,2164000,2171620,2156800,2139520,2177218.125,2177218.125,2177218.125
Saudi Arabia,SAU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,861700,861700,864200,866840,869620,976250,1234810,1447850,1737850,1737170,1734060,1736354.063,1736190,1736190
Turkey,TUR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,365170,365170,381780,379620,385790,381300,396770,394930,404790,412230,390120,385460,383270,383270
United States,USA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,4475090,4475090,4344000,4301580,4281630,4313990,4269480,4201390,4143990,4117840,4084261.875,4058625,4058625,4058625
South Africa,ZAF,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1013350,1013350,955900,945850,941600,940330,956000,975200,981250,974830,968910,968410,968410,968410
Argentina,ARG,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,51180.319,51180.319,82734.854,94931.296,108737.551,100596.811,112147.861,127963.632,142136.587,162110.736,187919.082,186763.7325,199439.707,212115.6815
Australia,AUS,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,90589.568,90589.568,147618.752,175883.988,220746.066,241229.928,263704.971,281860.288,329443.28,350172.831,390861.863,419009.2661,449881.6502,480754.0343
Brazil,BRA,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,49203.806,49203.806,93761.523,151164.741,187090.34,181248.809,208886.988,258347.484,327983.814,347308.904,419754.156,430318.0496,468107.6847,505897.3198
Canada,CAN,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,194182.318,194182.318,341485.708,397143.434,443233.957,422079.034,435181.225,467637.842,534380.909,557417.003,534670.602,611021.6979,643436.3333,675850.9687
China,CHN,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,552066.85,552066.85,771617.474,1145607.47,1467192.369,1966553.428,2442431.019,3320285.15,3405179.867,5896957.705,8776040.416,7215265.229,7986332.875,8757400.522
German,DEU,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,813542.6143,813542.6143,821760.2165,830060.8247,838445.2775,846914.4217,855469.1129,864110.215,829977.779,797180.131,758859.981,806329.7233,802820.208,799310.6927
European Union,EUU,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,2445945.664,2445945.664,3753440.756,4065317.555,4518359.15,4189511.407,4100786.671,3947855.53,3911984.936,4039746.883,3709775.555,4228662.851,4294188.386,4359713.921
France,FRA,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,281211.229,281211.229,439013.24,446919.292,505363.938,400880.107,375691.484,349160.739,362226.26,385368.697,353033.091,368340.8603,364423.4153,360505.9703
United Kingdom,GBR,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,588938.535,588938.535,653063.364,603643.205,579290.658,559855.558,555924.534,538117.582,541784.582,542580.321,493207.833,496583.9177,484028.1541,471472.3906
Indonesia,IDN,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,26024.699,26024.699,35822.923,53963.572,94784.616,121245.688,149565.929,224941.114,263418.945,341991.754,428760.308,415180.9181,459022.5478,502864.1774
India,IND,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,130402.187,130402.187,195143.072,252201.592,314016.211,426673.785,619154.615,811562.105,1031853.463,1222563.132,1719690.988,1574956.698,1739071.35,1903186.001
Italy,ITA,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,124549.655,124549.655,296740.974,342310.783,388969.691,372134.494,417550.289,430483.798,450564.29,473384.031,405361.181,519372.6114,546494.0101,573615.4088
Japan,JPN,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,283118.069,283118.069,768823.22,870072.757,947571.135,915396.877,1096179.977,1183447.243,1220527.947,1239255.316,1171624.835,1433944.169,1518370.066,1602795.962
South Korea,KOR,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,14462.648,14462.648,53783.889,81829.105,134868.593,178333.544,246943.114,374771.067,447561.017,462922.08,566716.515,604593.4469,667934.2269,731275.0068
Mexico,MEX,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,65305.603,65305.603,114073.036,164472.284,268453.736,288501.225,318427.612,332816.92,398382.88,466361.726,464308.206,536430.762,581579.9328,626729.1035
Russian Federation,RUS,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,1536000.356,1536000.356,1551515.511,1567187.385,1583017.561,1599007.637,1615159.229,1631473.969,1557899.281,1615089.813,1670531.186,1651717.455,1662450.049,1673182.642
Saudi Arabia,SAU,CO2 & Methane Emissions,CO2 emissions (kt),EN.ATM.CO2E.KT,3571.658,3571.658,45291.117,83336.242,169404.399,172653.361,185803.223,235161.043,296935.325,397642.146,518491.798,490134.1536,540916.9031,591699.6527
