@relation Global

@attribute Year {1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2018}
@attribute 'Agricultural land (sq. km)' numeric
@attribute 'CO2 emissions (kt)' numeric
@attribute 'Forest area (sq. km)' numeric
@attribute 'Population, total' numeric
@attribute 'Total greenhouse gas emissions (kt of CO2 equivalent)' numeric
@attribute 'Urban population' numeric

@data
1960,24593242.01,10250378.49,28142847.44,2485198136,23129137.68,989242278
1965,24593242.01,10250378.49,28142847.44,2485198136,23129137.68,989242278
1970,25224951.01,14686997.95,28142847.44,2909038941,23129137.68,1209167585
1975,25583647.01,15983274.87,28142847.44,3168004618,24914050.09,1336132964
1980,25857856,17796972.91,28142847.44,3396983888,28166149.69,1475904021
1985,26480218,17906302.66,28142847.44,3639710054,28086407.51,1639644895
1990,27089752.01,19281574.38,28142847.44,3900835898,30861603.81,1820710275
1995,29791715.99,21047149.87,28053944.94,4145649884,31726099.69,2016483060
2000,29999984.81,22340742.79,27965043.5,4369795666,32187974.47,2217014874
2005,29961719.25,25742086.98,27992106.36,4575878741,37050687.37,2451924999
2010,29417245.9,28737241.24,28045169.41,4774364130,40110746.38,2694430744
2015,29294567.48,28933289.88,28085540.36,4961222487,40305546.08,2930239491
2016,29321780.02,30670747.64,28093614.85,4998887946,42245692.23,2979268224
2018,29321780.02,32408205.4,28018222.33,5034903976,44185838.4,3027501858
