Country Name,Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,Agricultural land (sq. km),1292800,1291540,1290280,1289020,1287760,1286500,1285240,1283980,1282720,1281460,1280200,1278940,1287690,1286440,1285170,1283910,1282650,1279390,1273800,1274700,1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1308835,1343450,1377975,1411040,1440330,1442610,1437920,1474810,1482810,1492540,1491990,1487000,1487000,1487000
Australia,Agricultural land (sq. km),4817870,4832530,4844570,4870170,4877270,4868370,4877730,4786110,4765300,4804770,4829260,4827410,4780810,4711250,4730390,4729600,4708850,4710200,4722830,4670770,4644810,4629740,4661780,4602860,4691000,4633480,4652210,4622000,4637860,4537290,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800,4096725.938,4054740,3966153.125,4062690,3659130,3710780
Brazil,Agricultural land (sq. km),1953970,1996320,2028370,2058610,2100430,2134160,2160070,2185500,2200390,2225130,2242780,2258240,2281360,2288210,2299240,2310410,2340550,2357910,2376870,2394320,2416080,2449410,2467090,2494630,2514180,2584720,2590190,2595660,2601120,2607590,2614060,2634650,2658680,2684690,2721320,2724325.938,2727840,2716380,2735000,2735400,2734630,2753730,2756070,2795620,2835790,2840830,2835460
Canada,Agricultural land (sq. km),690210,686610,686130,685660,685190,684720,684250,679180,674110,669030,663960,658890,662760,666640,670510,674390,678250,678120,677980,677820,677680,677530,678140,678740,679340,679940,680550,679440,678340,677230,676130,675020,675170,675350,675510,675690,659540,652823.9844,646108.0078,639401.9922,632686.0156,625970,626118.0078,626266.0156,626413.9844,626561.9922,626710
China,Agricultural land (sq. km),3746000,3792500,3838700,3894800,3961000,4007100,4066600,4126000,4184700,4231900,4276040,4329090,4425180,4529280,4645370,4763470,4824560,4877660,4933750,4994850,5056940,5113790,5143140,5182230,5228330,5228330,5228720,5233330,5236830,5231330,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500,5145530,5145530,5145530,5145530,5278330,5277330
Germany,Agricultural land (sq. km),190230,189520,189490,188970,188210,187920,187580,187090,186590,185940,185190,184610,183960,183300,182840,182440,182080,181250,180970,180560,180320,171360,169510,171620,173080,173430,173370,173270,173730,171520,170680,170340,169670,170010,170130,170310,169460,169500,169210,168860,167000,167190,166640,166970,167250,167310,166570
European Union,Agricultural land (sq. km),2041680,2020915.999,2013938,2006505.001,2001457,1995956.001,1990212.999,1987283.002,1986722.001,1981558.999,1976655,1972269.998,1969633.999,1958072.998,1955548.999,1951546.999,1947683.999,1945714,1940339,1935527.005,1929663.007,1896398.003,1988824.008,2045767.007,2040433.004,2023283.993,2020758.008,2015593.997,2009245.999,2003948.995,1998270.802,1975250.21,1956929.191,1938698.095,1928508.105,1926754.305,1918584.592,1895033.195,1899331.2,1885815.008,1873627.004,1863397.693,1854247.208,1843733.475,1827078.701,1824429.299,1815078.892
France,Agricultural land (sq. km),324950,326230,325150,324600,324420,323570,320210,319100,319610,318340,317220,316870,316460,315650,315080,314420,313950,313530,308300,307409.0039,305928.0078,304849.0039,303843.0078,302913.0078,302049.0039,301501.9922,300963.0078,300395.9961,299800,299290.9961,298074.0039,297133.0078,296106.9922,295345.9961,294584.0039,293904.0039,293126.9922,292060.9961,291100.9961,290199.0039,289263.0078,288785.9961,288448.0078,287736.9922,287665,287269.0039,287180.1953
United Kingdom,Agricultural land (sq. km),188490,188430,187560,186960,186380,185830,185680,184900,184780,184520,184690,183200,182810,182160,182020,181680,181300,181160,184230,183060,182030,181430,180700,175340,174090,173790,174940,175850,175180,172190,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,172501.9922,172320,171380,173499.8047
Indonesia,Agricultural land (sq. km),384000,383500,383500,383000,383000,382560,380460,380460,380460,380000,380000,379500,379500,379000,370520,396790,412920,434850,441370,444350,450830,415240,413510,420160,419710,429780,429680,435270,438770,458770,471770,477000,481810,510060,533660,518460,515000,530000,540000,556000,556000,565000,565000,570000,570000,570000,570000
