year,Year2,Indicator,Country,Value
1970,01/01/1970,Agricultural land (sq. km),Argentina,1292800
1970,01/01/1970,Agricultural land (sq. km),Australia,4817870
1970,01/01/1970,Agricultural land (sq. km),Brazil,1953970
1970,01/01/1970,Agricultural land (sq. km),Canada,690210
1970,01/01/1970,Agricultural land (sq. km),China,3746000
1970,01/01/1970,Agricultural land (sq. km),Germany,190230
1970,01/01/1970,Agricultural land (sq. km),European Union,2041680
1970,01/01/1970,Agricultural land (sq. km),France,324950
1970,01/01/1970,Agricultural land (sq. km),United Kingdom,188490
1970,01/01/1970,Agricultural land (sq. km),Indonesia,384000
1970,01/01/1970,Agricultural land (sq. km),India,1780520
1970,01/01/1970,Agricultural land (sq. km),Italy,201800
1970,01/01/1970,Agricultural land (sq. km),Japan,66960
1970,01/01/1970,Agricultural land (sq. km),South Korea,23240
1970,01/01/1970,Agricultural land (sq. km),Mexico,976350
1970,01/01/1970,Agricultural land (sq. km),Russia,2216310
1970,01/01/1970,Agricultural land (sq. km),Saudi Arabia,864200
1970,01/01/1970,Agricultural land (sq. km),Turkey,381780
1970,01/01/1970,Agricultural land (sq. km),United States,4344000
1970,01/01/1970,Agricultural land (sq. km),South Africa,955900
1970,01/01/1970,CO2 emissions (kt),Argentina,82734.854
1970,01/01/1970,CO2 emissions (kt),Australia,147618.752
1970,01/01/1970,CO2 emissions (kt),Brazil,93761.523
1970,01/01/1970,CO2 emissions (kt),Canada,341485.708
1970,01/01/1970,CO2 emissions (kt),China,771617.474
1970,01/01/1970,CO2 emissions (kt),Germany,929973.202
1970,01/01/1970,CO2 emissions (kt),European Union,3753440.756
1970,01/01/1970,CO2 emissions (kt),France,439013.24
1970,01/01/1970,CO2 emissions (kt),United Kingdom,653063.364
1970,01/01/1970,CO2 emissions (kt),Indonesia,35822.923
1970,01/01/1970,CO2 emissions (kt),India,195143.072
1970,01/01/1970,CO2 emissions (kt),Italy,296740.974
1970,01/01/1970,CO2 emissions (kt),Japan,768823.22
1970,01/01/1970,CO2 emissions (kt),South Korea,53783.889
1970,01/01/1970,CO2 emissions (kt),Mexico,114073.036
1970,01/01/1970,CO2 emissions (kt),Russia,2078668.286
1970,01/01/1970,CO2 emissions (kt),Saudi Arabia,45291.117
1970,01/01/1970,CO2 emissions (kt),Turkey,42639.876
1970,01/01/1970,CO2 emissions (kt),United States,4328904.501
1970,01/01/1970,CO2 emissions (kt),South Africa,149763.947
1970,01/01/1970,Forest area (sq. km),Argentina,347930
1970,01/01/1970,Forest area (sq. km),Australia,1285410
1970,01/01/1970,Forest area (sq. km),Brazil,5467050
1970,01/01/1970,Forest area (sq. km),Canada,3482730
1970,01/01/1970,Forest area (sq. km),China,1571405.938
1970,01/01/1970,Forest area (sq. km),Germany,113000
1970,01/01/1970,Forest area (sq. km),European Union,1479241.502
1970,01/01/1970,Forest area (sq. km),France,144360
1970,01/01/1970,Forest area (sq. km),United Kingdom,27780
1970,01/01/1970,Forest area (sq. km),Indonesia,1185450
1970,01/01/1970,Forest area (sq. km),India,639390
1970,01/01/1970,Forest area (sq. km),Italy,75900
1970,01/01/1970,Forest area (sq. km),Japan,249500
1970,01/01/1970,Forest area (sq. km),South Korea,63700
1970,01/01/1970,Forest area (sq. km),Mexico,697600
1970,01/01/1970,Forest area (sq. km),Russia,8089500
1970,01/01/1970,Forest area (sq. km),Saudi Arabia,9770
1970,01/01/1970,Forest area (sq. km),Turkey,96220
1970,01/01/1970,Forest area (sq. km),United States,3024500
1970,01/01/1970,Forest area (sq. km),South Africa,92410
1970,01/01/1970,Population,Argentina,23880561
1970,01/01/1970,Population,Australia,12507000
1970,01/01/1970,Population,Brazil,95113265
1970,01/01/1970,Population,Canada,21324000
1970,01/01/1970,Population,China,818315000
1970,01/01/1970,Population,Germany,78169289
1970,01/01/1970,Population,European Union,441986158
1970,01/01/1970,Population,France,51957738
1970,01/01/1970,Population,United Kingdom,55663250
1970,01/01/1970,Population,Indonesia,114793178
1970,01/01/1970,Population,India,555189792
1970,01/01/1970,Population,Italy,53821850
1970,01/01/1970,Population,Japan,104345000
1970,01/01/1970,Population,South Korea,32240827
1970,01/01/1970,Population,Mexico,51493565
1970,01/01/1970,Population,Russia,130404000
1970,01/01/1970,Population,Saudi Arabia,5836389
1970,01/01/1970,Population,Turkey,34876303
1970,01/01/1970,Population,United States,205052000
1970,01/01/1970,Population,South Africa,22069776
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Argentina,221957.023
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Australia,319036.599
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Brazil,1260982.146
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Canada,494973.635
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),China,1873971.675
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Germany,1286569.85
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),European Union,5435016.121
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),France,614501.57
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,839587.41
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Indonesia,339677.08
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),India,746498.11
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Italy,388249.306
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Japan,941132.584
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),South Korea,88641.352
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Mexico,210547.8556
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Russia,2240872.97
