CountryName,Indicator_Name,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,MEAN,Median,STDEV.P,Q25,Q50,Q75
Argentina,Agricultural_land_(sq._km),1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1308835,1343450,1377975,1411040,1440330,1442610,1437920,1474810,1482810,1492540,1342173.913,1286060,79194.1841,1280450,1286060,1437920
Australia,Agricultural_land_(sq._km),4644810,4629740,4661780,4602860,4691000,4633480,4652210,4622000,4637860,4537290,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800,4096725.938,4054740,4441165.041,4537290,220786.8707,4254490,4537290,4633480
Brazil,Agricultural_land_(sq._km),2416080,2449410,2467090,2494630,2514180,2584720,2590190,2595660,2601120,2607590,2614060,2634650,2658680,2684690,2721320,2724325.938,2727840,2716380,2735000,2735400,2734630,2753730,2756070,2631193.302,2634650,103296.9227,2584720,2634650,2727840
Canada,Agricultural_land_(sq._km),677680,677530,678140,678740,679340,679940,680550,679440,678340,677230,676130,675020,675170,675350,675510,675690,659540,652823.9844,646108.0078,639401.9922,632686.0156,625970,626118.0078,666193.3916,675690,18394.587,652823.9844,675690,678340
China,Agricultural_land_(sq._km),5056940,5113790,5143140,5182230,5228330,5228330,5228720,5233330,5236830,5231330,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500,5145530,5145530,5174002.609,5164330,45233.86863,5145500,5164330,5228330
EuropeanUnion,Agricultural_land_(sq._km),1929663.007,1896398.003,1988824.008,2045767.007,2040433.004,2023283.993,2020758.008,2015593.997,2009245.999,2003948.995,1998270.802,1975250.21,1956929.191,1938698.095,1928508.105,1926754.305,1918584.592,1895033.195,1899331.2,1885815.008,1873627.004,1863397.693,1854247.208,1951667.94,1938698.095,59168.98783,1896398.003,1938698.095,2009245.999
France,Agricultural_land_(sq._km),305928.0078,304849.0039,303843.0078,302913.0078,302049.0039,301501.9922,300963.0078,300395.9961,299800,299290.9961,298074.0039,297133.0078,296106.9922,295345.9961,294584.0039,293904.0039,293126.9922,292060.9961,291100.9961,290199.0039,289263.0078,288785.9961,288448.0078,296942.0448,297133.0078,5316.734969,292060.9961,297133.0078,301501.9922
UnitedKingdom,Agricultural_land_(sq._km),182030,181430,180700,175340,174090,173790,174940,175850,175180,172190,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,174119.1304,173790,3793.473701,170510,173790,176470
Indonesia,Agricultural_land_(sq._km),450830,415240,413510,420160,419710,429780,429680,435270,438770,458770,471770,477000,481810,510060,533660,518460,515000,530000,540000,556000,556000,565000,565000,483977.3913,477000,52829.60873,429780,477000,533660
India,Agricultural_land_(sq._km),1814130,1815860,1813050,1813820,1812910,1809450,1805890,1809810,1808740,1810210,1809750,1804870,1805600,1802490,1803750,1801260,1799060,1796200,1797570,1800680,1795730,1796700,1796420,1805389.13,1805600,6418.922375,1799060,1805600,1810210
Italy,Agricultural_land_(sq._km),168400,160540,159780,159100,157020,153330,153490,153450,154840,157990,156370,155020,152730,149070,148830,147360,142030,141620,144572.002,139824.0039,143277.998,138525.9961,137290,151063.4783,153330,7971.116492,143277.998,153330,157020
Japan,Agricultural_land_(sq._km),56930,56540,56150,55740,55330,54430,53990,53540,53100,52710,52580,47930,47630,47360,47140,46920,46710,46500,46280,46090,45930,45610,45490,50462.17391,47930,4168.540519,46500,47930,54430
"Korea,Rep.",Agricultural_land_(sq._km),21790,21610,21360,21180,20960,20480,20080,19830,19690,19540,19730,19450,19190,19020,18930,18810,18580,18400,18170,17950,17730,17560.99976,17880,19474.82608,19450,1259.163736,18400,19450,20480
Mexico,Agricultural_land_(sq._km),1051510,1061540,1061770,1061800,1061900,1061950,1063100,1063100,1063250,1063260,1063300,1065500,1065500,1065500,1065700,1065700,1065700,1067000,1066150,1066150,1066150,1066150,1066150,1063818.696,1065500,3165.532175,1061950,1065500,1066150
SaudiArabia,Agricultural_land_(sq._km),1234810,1236720,1237460,1307850,1377850,1447850,1517850,1587850,1667850,1737850,1737850,1737910,1737930,1737980,1737090,1737170,1736740,1736750,1735720,1734350,1734060,1733880,1733450,1605426.957,1734060,189474.7448,1447850,1734060,1737170
Turkey,Agricultural_land_(sq._km),396770,400670,399040,399130,401490,394930,393640,392420,399190,403020,404790,409680,411960,406440,412100,412230,404930,395050,391220,389110,390120,382470,384070,398890,399130,8392.911605,392420,399130,404930
UnitedStates,Agricultural_land_(sq._km),4269480,4269480,4254290,4229480,4211390,4201390,4163060,4148850,4145880,4138870,4143990,4149440,4130640,4139250,4115210,4117840,4092148.125,4128575.938,4133125.938,4099606.875,4084261.875,4046693.125,4087065,4152174.647,4139250,59239.42576,4115210,4139250,4201390
SouthAfrica,Agricultural_land_(sq._km),956000,960050,964730,969360,972650,975200,978900,979450,979880,980580,981250,980130,980280,979280,976080,974830,968880,968900,971080,969880,968910,963740,968410,972541.3043,972650,6961.359378,968880,972650,979450
Argentina,CO2_emissions_(kt),112147.861,117098.311,121352.031,117927.053,122408.127,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192356.152,148940.3069,139815.376,26485.65383,124714.67,139815.376,175436.614
Australia,CO2_emissions_(kt),263704.971,261471.768,267984.36,277397.549,278119.948,281860.288,302164.467,305794.797,316883.805,325343.574,329443.28,324844.862,341353.696,336271.234,342699.485,350172.831,365346.877,372090.49,385904.079,394792.887,390861.863,391818.95,388126.281,330193.5801,329443.28,43876.70042,281860.288,329443.28,372090.49
Brazil,CO2_emissions_(kt),208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,321619.6558,327983.814,69005.11003,258347.484,327983.814,363212.683
Canada,CO2_emissions_(kt),435181.225,426780.128,440978.752,445580.837,456849.528,467637.842,479419.913,495294.356,506533.711,515389.516,534380.909,527926.989,519335.208,553100.944,552198.862,557417.003,543819.767,554355.058,561028.998,536764.459,534670.602,537112.824,517457.704,508661.5276,519335.208,42696.34987,467637.842,519335.208,543819.767
