Country,Sector,Indicator,Definition,Unit,References
Argentina,Oil and Gas,Oil and Gas activity,Oil and Gas Production,Mtoe,"Ministry of Energy and Mining of Argentina (2016) Energy Scenarios 2025 (p.17,19) https://datos.minem.gob.ar/dataset/escenarios-energeticos"
Argentina,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Ministry of Energy and Mining of Argentina (2017) Energy Scenarios 2025 and 2030 https://datos.minem.gob.ar/dataset/escenarios-energeticos

UN historic and projected population data (2015) Climate Action Tracker (2017) Argentina. Link: http://climateactiontracker.org/countries/argentina.html"
Argentina,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"Climate Action Tracker (2017). Argentina.  Link: http://climateactiontracker.org/countries/argentina.html

Ministry of Energy and Mining of Argentina (2017) Energy Scenarios 2025 and 2030 https://datos.minem.gob.ar/dataset/escenarios-energeticos"
Argentina,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,Ministry of Energy and Mining of Argentina (2017) Energy Scenarios 2025 and 2030 https://datos.minem.gob.ar/dataset/escenarios-energeticos
Argentina,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"Climate Action Tracker (2017). Argentina.  Link: http://climateactiontracker.org/countries/argentina.html

Ministry of Energy and Mining of Argentina (2017) Energy Scenarios 2025 and 2030 https://datos.minem.gob.ar/dataset/escenarios-energeticos"
Argentina,Transport: Road,EVs per capita,Amount of EVs per 1000 capita,EVs / 1000 cap,Ministry of Energy and Mining of Argentina (2017). Energy Scenarios 2030 (p.5). https://datos.minem.gob.ar/dataset/escenarios-energeticos
Argentina,Forestry,Forestry activity,Forest area (indexed to base year),ha of forest (indexed to 1990),"Climate Action Tracker (2016). Argentina.  Link: http://climateactiontracker.org/countries/argentina/2016.html

Secretaria de Ambiente y Desarrollo Sustentable (2015). Inventario de Gases de Efecto Invernadero de la República Argentina – Año 2012. Agricultura Ganadería y Cambio de Uso del Suelo y Silvicultura. Table 195 (p. 321)  "
Argentina,Agriculture,Agriculture activity (meat): consumption,Meat calorie consumption per capita,meat kcal / cap / day,"OECD 2016, OECD-FAO Agricultural Outlook 2017-2026, stats.oecd.org"
Argentina,Agriculture,Agriculture activity (meat): production,Meat production per capita,meat kg / cap / day,"OECD 2016, OECD-FAO Agricultural Outlook 2017-2026, stats.oecd.org"
Argentina,Waste,Waste activity,Amount of waste per capita,t waste / cap,Ministry of Environment and Sustainable Development of Argentina (2015). Third National Communication. Vol 4. Annexes Link: http://www.ambiente.gov.ar/?idarticulo=13851
Argentina,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Climate Action Tracker (2018). Argentina.  Link: https://climateactiontracker.org/countries/argentina/2018-11-30/

UN historic and projected population data (2015) Climate Action Tracker (2017) Argentina. Link: http://climateactiontracker.org/countries/argentina.html"
Argentina,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"WorldBank (2016). Historic GDP. Available at: https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.KD

IMF (2017) IMF World Economic Outlook GDP projections until 2022. Available at: http://www.imf.org/external/datamapper/NGDP_RPCH@WEO/ARG

UN historic and projected population data (2015) Climate Action Tracker (2017) Argentina. Link: http://climateactiontracker.org/countries/argentina.html"
Argentina,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Climate Action Tracker (2018). Argentina.  Link: https://climateactiontracker.org/countries/argentina/2018-11-30/

WorldBank (2016). Historic GDP. Available at: https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.KD

IMF (2017) IMF World Economic Outlook GDP projections until 2022. Available at: http://www.imf.org/external/datamapper/NGDP_RPCH@WEO/ARG"
Brazil,Industry: Cement,Cement activity,Amount of cement produced per capita,t product / cap,"Cement production:
Empresa de Pesquisa Energetica - EPE (2015). Economic scenario 2050.Figures 21 and 38. Available at: http://www.epe.gov.br/../DEA 009-17 - CenÃ¡rio macroeconÃ´mico_2017-2026_VF.pdf

Population:
United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Brazil,Industry: Cement,Cement emissions intensity,CO2 emissions per unit cement produced,kg CO2 / t product,"Cement production:
Empresa de Pesquisa Energetica - EPE (2015). Economic scenario 2050.Figures 21 and 38. Available at: http://www.epe.gov.br/../DEA 009-17 - CenÃ¡rio macroeconÃ´mico_2017-2026_VF.pdf

Emissions:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2015). Options for Greenhouse Gas Emissions Mitigation in Key Sectors of Brazil. Available at: http://www.mctic.gov.br/mctic/opencms/ciencia/SEPED/clima/brasil/Opcoes_de_Mitigacao_de_Emissoes_de_Gases_de_Efeito_Estufa_GEE_em_SetoresChave_do_Brasil.html"
Brazil,Industry: Steel,Steel activity,Amount of steel produced per capita,t product / cap,"Steel production:
Empresa de Pesquisa Energetica - EPE (2015). Economic scenario 2050.Figures 21 and 38. Available at: http://www.epe.gov.br/../DEA 009-17 - CenÃ¡rio macroeconÃ´mico_2017-2026_VF.pdf

Population:
United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Brazil,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Min:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5

Max:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"Min:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

Max:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5
"
Brazil,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"Min:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5

Max:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"Min:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5

Max:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"Global Transportation Roadmap Model, August 2017 version. http://www.theicct.org/global-transportation-roadmap-model (International Council on Clean Transportation, 2017)"
Brazil,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"Global Transportation Roadmap Model, August 2017 version. http://www.theicct.org/global-transportation-roadmap-model (International Council on Clean Transportation, 2017)"
Brazil,Transport: Road,Road transport biofuel/electrification,Biofuels and electrification in road transport,% biofuels/elec.,Energy research company - EPE (2015). Energy Demand Studies 2050.Table 7. Available at: http://www.mobilize.org.br/estudos/167/estudo-de-demanda-de-energia-2050.html
Brazil,Transport: Road,EVs per capita,Amount of EVs per 1000 capita,EVs / 1000 cap,Energy research company - EPE (2015). Energy Demand Studies 2050. Figure 86. Available at: http://www.mobilize.org.br/estudos/167/estudo-de-demanda-de-energia-2050.html
Brazil,Buildings,Buildings activity (residential),Residential building area per capita,m² / cap,International Energy Agency - IEA (2013). Transition to Sustainable Buildings. Table 2.2.1. Available at: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2015.pdf
Brazil,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,International Energy Agency - IEA (2013). Transition to Sustainable Buildings. Table 2.2.1. Available at: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2015.pdf
Brazil,Buildings,Buildings emissions intensity (per capita),Total building CO2 emissions per capita,t CO2 / cap,"Emissions:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5

Population:
United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Brazil,Forestry,Forestry activity,Forest area (indexed to base year),ha of forest (indexed to 1990),Massachusetts Institute of Technology - MIT (2015). Energy and Climate Outlook. Projection data tables.
Brazil,Agriculture,Agriculture activity (meat): consumption,Meat calorie consumption per capita,meat kcal / cap / day,"Meat Consumption: 
OECD-FAO (2017). Agricultural Outlook 2017. Link: http://stats.oecd.org/Index.aspx?datasetcode=HIGH_AGLINK_2017"
Brazil,Agriculture,Agriculture activity (total): consumption,Total calorie consumption per capita,kcal / cap / day,Food and Agriculture Organization - FAO (2012). World Agriculture towards 2030-2050. Available at: http://www.fao.org/docrep/016/ap106e/ap106e.pdf
Brazil,Agriculture,Agriculture activity (meat): production,Meat production per capita,meat kg / cap / day,"Meat Consumption: 
OECD-FAO (2017). Agricultural Outlook 2017. Link: http://stats.oecd.org/Index.aspx?datasetcode=HIGH_AGLINK_2017"
Brazil,Waste,Waste activity,Amount of waste per capita,t waste / cap,"Min: 
Ministry of Science, Technology, Innovation and Communications- MCTIC (2015). Options for Greenhouse Gas Emissions Mitigation in Key Sectors of Brazil. Available at: http://www.mctic.gov.br/mctic/opencms/ciencia/SEPED/clima/brasil/Opcoes_de_Mitigacao_de_Emissoes_de_Gases_de_Efeito_Estufa_GEE_em_SetoresChave_do_Brasil.html

Max:
World Bank - WB (2012). What a waste. Global review of solid waste management. Available at: http://documents.worldbank.org/curated/en/302341468126264791/What-a-waste-a-global-review-of-solid-waste-management"
Brazil,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions: 
Climate Action Tracker (2018). Brazil. Link: http://climateactiontracker.org/countries/brazil.html

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. "
Brazil,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Energy: 
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. "
Brazil,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Energy: 
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. "
Brazil,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"GDP:
World Bank, World Development Indicators (2017). (Historical)
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. "
Brazil,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions:
Climate Action Tracker (2018). Brazil. Link: http://climateactiontracker.org/countries/brazil.html

GDP: 
World Bank, World Development Indicators (2017). (Historical)
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/
"
Brazil,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"Primary Energy Demand:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

GDP: 
World Bank, World Development Indicators (2017). (Historical)
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Final Energy Demand:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

GDP: 
World Bank, World Development Indicators (2017). (Historical)
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/
"
Brazil,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Emissions:
Climate Action Tracker (2018). Brazil. Link: http://climateactiontracker.org/countries/brazil.html

Primary energy demand: 
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"Min:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5

Max:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/"
Brazil,Macro,Coal share,Coal in primary energy demand,% coal,"Min:
International Energy Agency - IEA (2017). World Energy Outlook 2017 (Current Policies Scenario), Annex A, Brazil. Available at: https://www.iea.org/weo2017/

Max:
Ministry of Science, Technology, Innovation and Communications- MCTIC (2017). Mitigation Trajectories and Public Policy Instruments for the achievement of Brazilian goals under the Paris Agreement. Available at: http://sirene.mcti.gov.br/documents/1686653/2098519/Trajetorias-J.pdf/74fdd21e-f10c-41d2-abbe-29450e1d40c5
"
Canada,Oil and Gas,Oil and Gas emissions intensity,GHG emissions per unit of oil and gas produced,tCO2e / ktoe,"GHG emissions from oil and gas production:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Oil and gas production:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10
"
Canada,Oil and Gas,Oil and Gas activity,Oil and Gas Production,Mtoe,"
Oil and gas production:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10
"
Canada,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity demand:
Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html
"
