ID,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value,Scenario
1,Oil_and_Gas,Oil_and_Gas_activity:_production,Mtoe,AR,Argentina,2025,projected_current_policy_min,68.4996,Projected
2,Oil_and_Gas,Oil_and_Gas_activity:_production,Mtoe,AR,Argentina,2025,projected_current_policy_min,88.6107,Projected
3,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2025,projected_current_policy_min,3033.24505,Projected
4,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2030,projected_current_policy_min,3562.21053,Projected
5,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2025,projected_current_policy_min,3033.24505,Projected
6,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2030,projected_current_policy_min,4281.951417,Projected
7,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2025,projected_current_policy_min,154.4271529,Projected
8,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2030,projected_current_policy_min,145.2513966,Projected
9,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2025,projected_current_policy_min,201.8052746,Projected
10,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2030,projected_current_policy_min,170.7827481,Projected
11,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2015,projected_current_policy_min,31,Projected
12,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2020,projected_current_policy_min,36,Projected
13,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2025,projected_current_policy_min,46,Projected
14,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2030,projected_current_policy_min,49,Projected
15,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2015,projected_current_policy_min,31,Projected
16,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2020,projected_current_policy_min,38.22222222,Projected
17,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2025,projected_current_policy_min,51,Projected
18,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2030,projected_current_policy_min,54,Projected
19,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2015,projected_current_policy_min,2.327197909,Projected
20,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2020,projected_current_policy_min,3.204727647,Projected
21,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2025,projected_current_policy_min,5.586943224,Projected
22,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2030,projected_current_policy_min,5.375076461,Projected
23,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2015,projected_current_policy_min,2.327197909,Projected
24,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2020,projected_current_policy_min,3.276427737,Projected
25,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2025,projected_current_policy_min,5.039203692,Projected
26,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2030,projected_current_policy_min,5.83106267,Projected
27,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2025,projected_current_policy_min,1.284756886,Projected
28,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2030,projected_current_policy_min,6.285061265,Projected
29,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2025,projected_current_policy_min,1.284756886,Projected
30,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2030,projected_current_policy_min,6.285061265,Projected
31,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2015,projected_current_policy_min,0.78,Projected
32,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2020,projected_current_policy_min,0.761,Projected
33,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2025,projected_current_policy_min,0.752,Projected
34,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2030,projected_current_policy_min,0.747,Projected
35,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2015,projected_current_policy_min,0.78,Projected
36,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2020,projected_current_policy_min,0.761,Projected
37,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2025,projected_current_policy_min,0.752,Projected
38,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2030,projected_current_policy_min,0.747,Projected
39,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,657.39,Projected
40,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,642.21,Projected
41,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,657.39,Projected
42,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,642.21,Projected
43,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,0.365,Projected
44,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,0.374,Projected
45,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,0.365,Projected
46,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,0.374,Projected
47,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2015,projected_current_policy_min,0.361047728,Projected
48,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2020,projected_current_policy_min,0.371749928,Projected
49,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2025,projected_current_policy_min,0.381279562,Projected
50,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2030,projected_current_policy_min,0.389700359,Projected
51,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2015,projected_current_policy_min,0.361047728,Projected
52,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2020,projected_current_policy_min,0.371749928,Projected
53,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2025,projected_current_policy_min,0.381279562,Projected
54,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2030,projected_current_policy_min,0.389700359,Projected
55,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2015,projected_current_policy_min,7.945890546,Projected
56,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2020,projected_current_policy_min,8.608379518,Projected
57,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2025,projected_current_policy_min,9.227897116,Projected
58,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2030,projected_current_policy_min,9.928609707,Projected
59,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2015,projected_current_policy_min,7.945890546,Projected
60,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2020,projected_current_policy_min,8.608379518,Projected
61,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2025,projected_current_policy_min,9.227897116,Projected
62,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2030,projected_current_policy_min,9.928609707,Projected
63,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2015,projected_current_policy_min,19.45315312,Projected
64,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2020,projected_current_policy_min,20.17094928,Projected
65,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2015,projected_current_policy_min,19.45315312,Projected
66,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2020,projected_current_policy_min,20.17094928,Projected
67,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859,Projected
68,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165,Projected
69,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859,Projected
70,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165,Projected
71,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.342799362,Projected
72,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.333337941,Projected
73,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.463563776,Projected
74,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.549795575,Projected
75,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.347124107,Projected
76,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.338651415,Projected
77,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.474109591,Projected
78,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.579397338,Projected
79,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2015,projected_current_policy_min,532.3508772,Projected
80,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2020,projected_current_policy_min,581.3055556,Projected
81,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2030,projected_current_policy_min,465.1132075,Projected
82,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2050,projected_current_policy_min,497.8778626,Projected
83,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2015,projected_current_policy_min,532.3508772,Projected
84,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2020,projected_current_policy_min,581.3055556,Projected
85,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2030,projected_current_policy_min,465.1132075,Projected
86,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2050,projected_current_policy_min,497.8778626,Projected
87,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.187637546,Projected
88,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.194447132,Projected
89,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.271141076,Projected
90,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.339949936,Projected
91,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.190004774,Projected
92,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.197546659,Projected
93,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.277309383,Projected
94,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.358253316,Projected
95,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2020,projected_current_policy_min,2815.020397,Projected
96,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2025,projected_current_policy_min,2839.828704,Projected
97,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2030,projected_current_policy_min,2879.312689,Projected
98,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2050,projected_current_policy_min,3243.751923,Projected
99,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2015,projected_current_policy_min,2085.540912,Projected
100,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2020,projected_current_policy_min,3244.561793,Projected
101,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2025,projected_current_policy_min,4341.971728,Projected
102,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2030,projected_current_policy_min,4831.096178,Projected
103,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2015,projected_current_policy_min,210.1853631,Projected
104,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2020,projected_current_policy_min,109.051787,Projected
105,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2025,projected_current_policy_min,63.77107543,Projected
106,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2030,projected_current_policy_min,60.27876541,Projected
107,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2025,projected_current_policy_min,78.01463801,Projected
108,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2030,projected_current_policy_min,80.80280319,Projected
109,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2020,projected_current_policy_min,80.94175345,Projected
110,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2030,projected_current_policy_min,75.16680767,Projected
111,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2050,projected_current_policy_min,66.10216202,Projected
112,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2015,projected_current_policy_min,74.01653643,Projected
113,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2020,projected_current_policy_min,79.1767228,Projected
114,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2025,projected_current_policy_min,83.28620219,Projected
115,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2030,projected_current_policy_min,83.12253097,Projected
116,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2020,projected_current_policy_min,2.343595238,Projected
117,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2025,projected_current_policy_min,2.350114286,Projected
118,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2030,projected_current_policy_min,2.356633333,Projected
119,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2050,projected_current_policy_min,2.432842857,Projected
120,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2015,projected_current_policy_min,2.048714286,Projected
