Index,Country Name,Country Code,classes,Indicator Name,Indicator Code,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
1,Argentina,ARG,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,47.24758741,47.23954851,47.19350749,47.14746646,47.10142544,47.05538442,47.0093434,46.96330238,46.91726136,46.87122034,46.82517932,46.7791383,46.73309728,47.05282659,47.00715097,46.96074455,46.91470353,46.86866251,46.7495405,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.8254753,49.09032444,50.35188494,51.56009632,52.63036734,52.71367966,52.54230476,53.89028352,54.18260746,54.53814645,54.51804918,54.33571212,54.33571212,54.33571212,,
2,Australia,AUS,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.08421957,60.35796571,60.72022702,61.05059683,61.56697864,61.72031813,62.05537404,61.80714109,62.34369915,62.71390078,62.90472905,63.06145295,63.39468649,63.48710673,63.371256,63.49309452,62.30048293,62.02960051,62.54337894,62.86216367,62.83808235,62.23149317,61.32603517,61.57517931,61.56489593,61.29479453,61.31236739,61.47677128,60.79910964,60.46119001,60.2650248,60.6820874,59.91512958,61.06244224,60.31370813,60.55751533,60.16427372,60.37072231,59.06160915,59.29213907,59.31817294,58.1856996,57.20942947,57.28883277,57.94475613,56.61390469,55.38041993,54.31810786,53.24303919,51.88289965,53.32681537,52.78028715,51.62715756,52.88377179,47.63065749,48.24194425,,
3,Brazil,BRA,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.01010751,18.65403068,19.32379692,19.86578354,20.38671283,20.94891926,21.48671834,22.16079176,23.18434484,23.37804823,23.88473991,24.26819843,24.63000141,25.13035197,25.53391065,25.84390786,26.14816215,26.32631183,26.62231071,26.83348209,27.01845147,27.29506804,27.37702407,27.50899123,27.64263341,28.00323996,28.21094167,28.4377864,28.64656491,28.90690991,29.30568284,29.51721316,29.84671231,30.08061602,30.9245837,30.99002888,31.05547406,31.1207996,31.19820917,31.27561874,31.52196541,31.80946957,32.12066321,32.55891861,32.5948828,32.6369264,32.49981455,32.72259139,32.72737714,32.71816457,32.94668431,32.97468097,33.44787237,33.9284817,33.98878219,33.92453345,,
4,Canada,CAN,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.678553166,7.692629139,7.706705112,7.720671116,7.734857057,7.748823062,7.709234388,7.669535746,7.629837104,7.590138461,7.550549788,7.545271298,7.540102777,7.534934255,7.529765734,7.524597213,7.468843164,7.413089115,7.357225098,7.301471049,7.245717,7.288274825,7.330942617,7.373500442,7.416168234,7.45861609,7.457186499,7.455646939,7.453887443,7.452347883,7.450698355,7.457406436,7.464004548,7.470602661,7.477200773,7.483908854,7.471702346,7.459605807,7.447399299,7.43530276,7.423096252,7.42474578,7.426725214,7.428484711,7.430464144,7.252864955,7.179009913,7.105155301,7.031410228,6.957555615,6.883700573,6.885328194,6.886955814,6.888583005,6.890210625,6.891838245,,
5,China,CHN,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.46579501,36.75871435,37.0622853,37.36585626,37.77061753,38.15407557,38.53753362,38.92099167,39.41096583,39.90094,40.39623998,40.88834447,41.48589993,42.19103667,42.682076,43.31584694,43.94855271,44.57380236,45.07655846,45.54672063,46.11178867,47.13530211,48.24413496,49.48068064,50.73863606,51.38934306,51.95494368,52.55239262,53.20320614,53.86456475,54.47010891,54.78273374,55.19910526,55.6901446,55.69020391,55.69441737,55.74352141,55.78080213,55.72221814,55.60191389,55.37954069,55.2323422,54.97670616,55.00866113,55.11518135,54.76368035,54.81001871,54.80799489,54.80841731,54.80809776,54.80841731,54.80841731,54.80841731,54.80841731,56.22295728,56.2123131,,
6,Germany,DEU,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.49508779,55.54664452,55.57242288,55.73282159,55.95050554,55.94191275,55.60106551,55.23730416,55.14851202,54.48686736,54.28350471,54.27491192,54.12597027,53.90828631,53.8252227,53.72783777,53.5874889,53.44427577,53.2580987,53.04327901,52.87715178,52.69097471,52.50193338,52.3701773,52.25560679,52.15249334,51.91475955,51.83456019,51.71712543,51.64838312,49.08200384,48.55211526,49.15788268,49.57749706,49.67917502,49.66341058,49.64045266,49.77651711,49.14894836,48.91245164,48.82201204,48.63555581,48.74000172,48.77999828,48.83300837,48.59486121,48.61330198,48.53569687,48.43808267,47.91003242,47.96591692,47.81086819,47.85886265,47.93637145,47.9592063,47.67861232,,
7,European Union,EUU,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.70285266,54.63520916,54.49587934,54.30531621,54.09141826,53.97254103,53.92055079,53.69017559,53.67409128,53.13766978,52.59739356,52.41578061,52.22232555,52.09135042,51.94979999,51.80140247,51.72540957,51.71080773,51.57682678,51.45025482,51.33638508,51.26790587,50.96751346,50.90168272,50.79751324,50.69696184,50.64555219,50.50577623,50.39350904,50.24083359,49.37332972,48.69446161,48.59717285,48.4700031,48.06297493,48.00194407,47.88029959,47.72995685,47.60446493,47.10955129,46.57265636,46.15363122,45.71869587,45.48064619,45.44239361,45.25675607,44.70175953,44.80894555,44.48048497,44.17899878,43.93929181,43.75785317,43.49560349,43.10301103,43.04635167,42.82165863,,
8,France,FRA,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.07732586,62.89652575,62.73946706,62.29203242,62.09479593,61.81172504,61.41542579,60.59178081,60.5826495,59.34444263,59.5782044,59.38096791,59.2805234,59.24765065,59.09241822,58.47879358,58.2760783,58.36921775,58.13728225,57.9327407,57.86882147,57.79394465,57.64601728,57.54192025,57.42138683,57.33555243,57.25884935,56.30371338,56.14099399,55.87052503,55.67347045,55.48974902,55.31990649,55.16211658,55.06221781,54.96378505,54.86023375,54.75138914,54.6584316,54.43607963,54.26422923,54.07685204,53.90833912,53.7987147,53.67550923,53.53360406,53.33892184,53.16359762,52.99886734,52.82792694,52.74081058,52.67908399,52.54923164,52.53608375,52.46376323,52.44754417,,
9,United Kingdom,GBR,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.84185508,81.75505311,81.62278345,81.44091266,80.95316827,80.80849833,80.82503203,80.29595337,80.10581573,77.91096598,77.88616542,77.52655727,77.27855165,77.03881288,76.81147439,76.74947299,76.42706568,76.37746456,76.26999545,76.34026371,75.72438309,75.56317943,75.29450668,75.2366387,75.09610218,74.93903195,74.88116397,76.15012607,75.66651511,75.24077212,74.9927665,74.69102633,72.47550944,71.95883107,71.83482826,72.31017236,72.68631422,72.40937461,71.17347993,70.11945604,70.07398834,70.16905717,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,71.19414707,70.94614145,71.02054313,71.30243963,71.22721448,70.83867234,71.71487814,,
10,Indonesia,IDN,Agricultural,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.30748467,21.30748467,21.2798843,21.2798843,21.25228393,21.22468356,21.22468356,21.22468356,21.19708319,21.19708319,21.16948282,21.16948282,21.14188246,21.14188246,21.11759413,21.00167258,21.00167258,21.00167258,20.97628024,20.97628024,20.94867987,20.94867987,20.92107951,20.45297725,21.90310063,22.79348852,24.00404069,24.3639495,24.5284477,24.88614848,22.92155423,22.82605696,23.19314186,23.16830153,23.72417295,23.71865288,24.027225,24.22042758,25.32444233,26.04205192,26.33075178,26.59626733,28.15568816,29.45842556,28.61937435,28.4283798,29.25639087,29.80839824,30.69161004,30.69161004,31.18841668,31.18841668,31.46442036,31.46442036,31.46442036,31.46442036,,
