year,country,indicator,value
1961,Argentina,Agricultural_land_(sq. km),1378290
1961,Australia,Agricultural_land_(sq. km),4615850
1961,Brazil,Agricultural_land_(sq. km),1505310
1961,Canada,Agricultural_land_(sq. km),698250
1961,China,Agricultural_land_(sq. km),3423500
1961,German,Agricultural_land_(sq. km),193750
1961,European Union,Agricultural_land_(sq. km),2101850.999
1961,France,Agricultural_land_(sq. km),345390
1961,United Kingdom,Agricultural_land_(sq. km),198000
1961,Indonesia,Agricultural_land_(sq. km),386000
1961,India,Agricultural_land_(sq. km),1749520
1961,Italy,Agricultural_land_(sq. km),206830
1961,Japan,Agricultural_land_(sq. km),71100
1961,"Korea, Rep.",Agricultural_land_(sq. km),21130
1961,Mexico,Agricultural_land_(sq. km),983160
1961,Saudi Arabia,Agricultural_land_(sq. km),861700
1961,Turkey,Agricultural_land_(sq. km),365170
1961,United States,Agricultural_land_(sq. km),4475090
1961,South Africa,Agricultural_land_(sq. km),1013350
1961,Argentina,CO2_Emissions(kt),51180.319
1961,Australia,CO2_Emissions(kt),90589.568
1961,Brazil,CO2_Emissions(kt),49203.806
1961,Canada,CO2_Emissions(kt),194182.318
1961,China,CO2_Emissions(kt),552066.85
1961,European Union,CO2_Emissions(kt),2445945.664
1961,France,CO2_Emissions(kt),281211.229
1961,United Kingdom,CO2_Emissions(kt),588938.535
1961,Indonesia,CO2_Emissions(kt),26024.699
1961,India,CO2_Emissions(kt),130402.187
1961,Italy,CO2_Emissions(kt),124549.655
1961,Japan,CO2_Emissions(kt),283118.069
1961,"Korea, Rep.",CO2_Emissions(kt),14462.648
1961,Mexico,CO2_Emissions(kt),65305.603
1961,Saudi Arabia,CO2_Emissions(kt),3571.658
1961,Turkey,CO2_Emissions(kt),17363.245
1961,United States,CO2_Emissions(kt),2880505.507
1961,South Africa,CO2_Emissions(kt),102213.958
1961,Argentina,Population,20817266
1961,Australia,Population,10483000
1961,Brazil,Population,74311343
1961,Canada,Population,18271000
1961,China,Population,660330000
1961,German,Population,73377632
1961,European Union,Population,412798418
1961,France,Population,47240543
1961,United Kingdom,Population,52800000
1961,Indonesia,Population,90098394
1961,India,Population,459642165
1961,Italy,Population,50536350
1961,Japan,Population,94943000
1961,"Korea, Rep.",Population,25765673
1961,Mexico,Population,38966056
1961,Russian Federation,Population,121236000
1961,Saudi Arabia,Population,4218853
1961,Turkey,Population,28146910
1961,United States,Population,183691000
1961,South Africa,Population,17524533
1961,Argentina,Urban population,15449950
1961,Australia,Urban population,8589875
1961,Brazil,Urban population,35016991
1961,Canada,Urban population,12729040
1961,China,Urban population,110327936
1961,German,Urban population,52609561
1961,European Union,Urban population,254563188
1961,France,Urban population,29575887
1961,United Kingdom,Urban population,41381472
1961,Indonesia,Urban population,13353483
1961,India,Urban population,82882675
1961,Italy,Urban population,30249038
1961,Japan,Urban population,60965749
1961,"Korea, Rep.",Urban population,7351204
1961,Mexico,Urban population,20102588
1961,Russian Federation,Urban population,66226377
1961,Saudi Arabia,Urban population,1365769
1961,Turkey,Urban population,9025025
1961,United States,Urban population,129276215
1961,South Africa,Urban population,8200255
1962,Argentina,Agricultural_land_(sq. km),1364340
1962,Australia,Agricultural_land_(sq. km),4636880
1962,Brazil,Agricultural_land_(sq. km),1559130
1962,Canada,Agricultural_land_(sq. km),699530
1962,China,Agricultural_land_(sq. km),3451000
1962,German,Agricultural_land_(sq. km),193930
1962,European Union,Agricultural_land_(sq. km),2099241.001
1962,France,Agricultural_land_(sq. km),344400
1962,United Kingdom,Agricultural_land_(sq. km),197790
1962,Indonesia,Agricultural_land_(sq. km),386000
1962,India,Agricultural_land_(sq. km),1764820
1962,Italy,Agricultural_land_(sq. km),206520
1962,Japan,Agricultural_land_(sq. km),71200
1962,"Korea, Rep.",Agricultural_land_(sq. km),20810
1962,Mexico,Agricultural_land_(sq. km),981790
1962,Saudi Arabia,Agricultural_land_(sq. km),861900
1962,Turkey,Agricultural_land_(sq. km),366480
1962,United States,Agricultural_land_(sq. km),4439910
1962,South Africa,Agricultural_land_(sq. km),1001350
1962,Argentina,CO2_Emissions(kt),53695.881
1962,Australia,CO2_Emissions(kt),94912.961
1962,Brazil,CO2_Emissions(kt),53695.881
1962,Canada,CO2_Emissions(kt),207185.5
1962,China,CO2_Emissions(kt),440359.029
1962,European Union,CO2_Emissions(kt),2587255.911
1962,France,CO2_Emissions(kt),298706.486
1962,United Kingdom,CO2_Emissions(kt),593360.937
1962,Indonesia,CO2_Emissions(kt),22995.757
1962,India,CO2_Emissions(kt),143467.708
1962,Italy,CO2_Emissions(kt),146456.313
1962,Japan,CO2_Emissions(kt),293220.654
1962,"Korea, Rep.",CO2_Emissions(kt),17278.904
1962,Mexico,CO2_Emissions(kt),63809.467
1962,Saudi Arabia,CO2_Emissions(kt),6255.902
1962,Turkey,CO2_Emissions(kt),21631.633
1962,United States,CO2_Emissions(kt),2987207.873
1962,South Africa,CO2_Emissions(kt),105767.281
1962,Argentina,Population,21153052
1962,Australia,Population,10742000
1962,Brazil,Population,76514328
1962,Canada,Population,18614000
1962,China,Population,665770000
1962,German,Population,74025784
1962,European Union,Population,416450473
1962,France,Population,47904877
1962,United Kingdom,Population,53250000
1962,Indonesia,Population,92518377
1962,India,Population,469077190
1962,Italy,Population,50879450
1962,Japan,Population,95832000
1962,"Korea, Rep.",Population,26513030
1962,Mexico,Population,40195319
1962,Russian Federation,Population,122591000
1962,Saudi Arabia,Population,4362786
1962,Turkey,Population,28832827
1962,United States,Population,186538000
1962,South Africa,Population,17965725
1962,Argentina,Urban population,15815502
1962,Australia,Urban population,8832932
1962,Brazil,Urban population,36802627
1962,Canada,Urban population,13121753
1962,China,Urban population,114685540
1962,German,Urban population,53122383
1962,European Union,Urban population,258687298
1962,France,Urban population,30414327
1962,United Kingdom,Urban population,41661202
1962,Indonesia,Urban population,13931417
1962,India,Urban population,85456482
1962,Italy,Urban population,30708292
1962,Japan,Urban population,62428798
1962,"Korea, Rep.",Urban population,7811004
1962,Mexico,Urban population,21073602
1962,Russian Federation,Urban population,68060071
1962,Saudi Arabia,Urban population,1462319
1962,Turkey,Urban population,9398925
1962,United States,Urban population,131988693
1962,South Africa,Urban population,8427003
1963,Argentina,Agricultural_land_(sq. km),1348750
